feature_set,subset,target_coverage,actual_coverage_pct,selective_acc_pct
entropy_only,clean,0.9,89.45454545454545,67.3780487804878
entropy_only,clean,0.8,78.27272727272727,71.66085946573752
entropy_only,clean,0.7,71.0,73.8796414852753
entropy_only,clean,0.6,58.909090909090914,78.08641975308642
entropy_only,clean,0.5,48.90909090909091,81.97026022304833
entropy_only,corrupted,0.9,66.62987012987013,45.71679173569827
entropy_only,corrupted,0.8,51.23376623376623,49.93662864385298
entropy_only,corrupted,0.7,42.05194805194805,53.41260037059914
entropy_only,corrupted,0.6,29.57142857142857,58.849363197189284
entropy_only,corrupted,0.5,22.18831168831169,62.86215978928885
margin_only,clean,0.9,89.72727272727272,64.74164133738601
margin_only,clean,0.8,80.27272727272728,67.04416761041902
margin_only,clean,0.7,71.63636363636363,69.54314720812182
margin_only,clean,0.6,61.45454545454545,73.22485207100591
margin_only,clean,0.5,49.45454545454545,76.65441176470588
margin_only,corrupted,0.9,81.03246753246754,40.660309319657024
margin_only,corrupted,0.8,64.77922077922078,43.02325581395349
margin_only,corrupted,0.7,53.12987012987013,45.22121730628208
margin_only,corrupted,0.6,41.5,48.25535909873259
margin_only,corrupted,0.5,30.376623376623375,51.98802907225309
top1_only,clean,0.9,90.45454545454545,65.82914572864321
top1_only,clean,0.8,81.18181818181817,68.75699888017918
top1_only,clean,0.7,71.72727272727273,72.49683143219265
top1_only,clean,0.6,59.81818181818181,76.44376899696049
top1_only,clean,0.5,49.63636363636363,78.3882783882784
top1_only,corrupted,0.9,74.4090909090909,42.5517060825552
top1_only,corrupted,0.8,59.33766233766234,45.75399430947691
top1_only,corrupted,0.7,47.98701298701299,48.836265223274694
top1_only,corrupted,0.6,37.01298701298701,51.33333333333333
top1_only,corrupted,0.5,27.110389610389614,55.64071856287425
all_three,clean,0.9,89.54545454545455,67.20812182741118
all_three,clean,0.8,78.0909090909091,71.59487776484285
all_three,clean,0.7,70.54545454545455,74.0979381443299
all_three,clean,0.6,58.36363636363636,78.81619937694704
all_three,clean,0.5,49.09090909090909,82.22222222222221
all_three,corrupted,0.9,66.74675324675324,45.7437493919642
all_three,corrupted,0.8,50.86363636363637,50.338312268607176
all_three,corrupted,0.7,40.86363636363636,54.346098839980925
all_three,corrupted,0.6,28.253246753246753,60.42289128935877
all_three,corrupted,0.5,21.48051948051948,63.845223700120926
