subset,target_coverage,actual_coverage_pct,selective_acc_pct
clean,1.0,99.90909090909092,62.42038216560509
clean,0.95,93.36363636363636,66.01752677702045
clean,0.9,89.54545454545455,67.20812182741118
clean,0.8,78.0909090909091,71.59487776484285
clean,0.7,70.54545454545455,74.0979381443299
clean,0.6,58.36363636363636,78.81619937694704
clean,0.5,49.09090909090909,82.22222222222221
clean,0.4,40.36363636363636,86.03603603603604
clean,0.3,30.636363636363633,88.13056379821958
clean,0.2,21.272727272727273,88.88888888888889
clean,0.1,11.454545454545455,90.47619047619048
corrupted,1.0,98.68831168831169,38.4655875773128
corrupted,0.95,76.22077922077922,43.44862838643721
corrupted,0.9,66.74675324675324,45.7437493919642
corrupted,0.8,50.86363636363637,50.338312268607176
corrupted,0.7,40.86363636363636,54.346098839980925
corrupted,0.6,28.253246753246753,60.42289128935877
corrupted,0.5,21.48051948051948,63.845223700120926
corrupted,0.4,15.987012987012985,67.66856214459789
corrupted,0.3,10.220779220779221,72.10927573062261
corrupted,0.2,6.805194805194806,73.95038167938931
corrupted,0.1,2.6233766233766236,82.67326732673267
