corruption_type,severity,n_samples,mean_error_km,median_error_km,acc_street_1km,acc_city_25km,acc_region_200km,acc_country_750km,acc_continent_2500km
clean,none,1100,2350.7539792826283,216.48186340608845,0.2727272727272727,22.09090909090909,49.18181818181818,62.36363636363637,75.36363636363636
blur,1,1100,2657.872742546195,356.56367520243924,0.0909090909090909,18.72727272727273,43.36363636363637,57.72727272727273,73.27272727272728
blur,2,1100,4066.509555788455,1614.050409674975,0.0,7.363636363636364,21.181818181818183,36.54545454545455,57.99999999999999
jpeg,1,1100,3583.759474120026,844.3807243041265,0.0909090909090909,12.090909090909092,32.0,48.81818181818181,65.63636363636364
jpeg,2,1100,6996.3710940511255,6125.108000008641,0.0,1.4545454545454546,6.181818181818182,12.909090909090908,31.727272727272727
noise,1,1100,4417.925053394792,2017.197737350308,0.0,5.363636363636363,17.363636363636363,32.36363636363636,53.45454545454545
noise,2,1100,5314.900436758104,3444.43271410207,0.0,2.4545454545454546,8.90909090909091,20.454545454545457,44.72727272727273
resize,1,1100,2849.157927803752,567.0773103130769,0.0,15.0,37.45454545454546,54.36363636363636,71.36363636363636
resize,2,1100,4187.571844804584,1644.1792926312758,0.0,6.636363636363636,18.818181818181817,34.0,56.63636363636364
crop,1,1100,3226.915096531729,852.6219940959618,0.0,12.636363636363637,32.72727272727273,48.27272727272727,65.9090909090909
crop,2,1100,3778.3122912012886,1575.6948585174578,0.0,7.727272727272727,20.27272727272728,38.54545454545455,58.909090909090914
lowlight,1,1100,3936.484765521239,1473.706568825145,0.0,7.272727272727272,22.90909090909091,40.54545454545455,59.63636363636363
lowlight,2,1100,5689.52744594217,4227.27041945605,0.0,1.3636363636363635,7.818181818181818,20.18181818181818,40.45454545454545
fog,1,1100,3056.131371939259,736.3015476164668,0.2727272727272727,12.181818181818182,34.909090909090914,50.18181818181818,68.63636363636364
fog,2,1100,4427.153670566374,1833.4555519599808,0.0,4.545454545454546,18.454545454545453,33.27272727272727,55.72727272727273
